,Content,Result,type
0,"I was contacted originally on XX/XX/XXXX via cell phone by a woman named XXXX XXXX. XXXX XXXX claimed to be an associate at an entity called "" XXXX XXXX XXXX ''. She stated ( in a voicemail which I have saved ) that I must contact her by the end of the day to avoid legal action being taken for a pending legal complaint against my name and social security number in the state of Ohio. I called back and was told I owed a debt of XXXX to "" XXXX XXXX XXXX '' for an unpaid installment loan originating in XX/XX/XXXX. She also stated that I had committed fraud by closing my bank account used to obtain the loan. I did have a bank account closed at that time because someone committed fraud against it. I did not close it by choice. I was found liable for the charges made to my account and was forced to close the account. I did not report it to the police, I wasn't aware that I should. I told XXXX XXXX I was unaware of the debt. I almost made an agreement to repay the debt because I was scared of being sued, even if I did not owe it. I am XXXX XXXX and on XXXX. My memory is poor and I was and am still unsure if Im responsible for this debt. My husband and I decided against giving money to these people. We received no communication from them for months until yesterday ( XX/XX/XXXX ). They contacted my husband on his cell phone, even though they were never given his number or authorized to contact him. I called them back and spoke to a XXXX XXXX, this time claiming to be from an entity called "" consumer solutions group ''. XXXX XXXX stated that I owe {$720.00} to "" XXXX '' for an unpaid installment loan originating in XX/XX/XXXX and once again, told me that I would be sued for the debt of I did not pay it. He made reference to a court docket number "" XXXX XXXX ''. When I told him he can not do that he said he would notate my response as a direct refusal and ended the call by saying "" good luck in court ''. Today ( XX/XX/XXXX ) I received a call on my landline from "" consumer solutions group '' and talked to a woman named XXXX. I did not think to get her last name. I was told again that I owe the same debt mentioned above and I will be sued if I do not pay it in full. I told the representative that I am unsure whether I actually owe this debt and asked if I could call the original creditor for verification. The debt has never appeared on my credit report and to my knowledge I did not take out any installments loan in XX/XX/XXXX. She stated that "" consumer solutions group '' purchased my debt from "" XXXX '' and therefore "" XXXX '' would be unable to verify anything for me. She sent me an email, which I will attach to this complaint as documentation, listing my alleged original account number, a balance of {$220.00} and stating that the current creditor for the account is a company called "" XXXX XXXX XXXX ''. It also lists the original creditor as "" XXXX  XXXX XXXX '' again. I will be sending a letter requesting full documentation and proof of this debt as none of this adds up, whatsoever. I also believe that even if I do owe this debt, it is beyond the statute of limitations for collection. This would make it unlawful for any company to bring legal action against me. The amounts and names keep changing and at this point I am simply scared and confused.",Action > Debt collection,
1,"Thanks for your response and update regarding Select Portfolio Servicing ( SPS ), my servicing company. I really tried to modify this loan but SPS is difficult in assisting me. They promised to help me with a modification but they have not kept their word. The fact of the matter is I loss my job through no fault of mine. I have XXXX XXXX and I am XXXX years old. I have been experiencing more challenges to find a decent paying job versus when I was younger with less qualification. I even contacted my Congress Woman and she has been diligent in seeking assistance! 
I have always taken my responsibilities seriously especially my Action > Mortgage to name one. The reason I am behind these payments is because I loss my job on XXXX occasions. SPS accepted my unemployment and said they will work to modify my loan when I found a job, they did not indicate the pay range that will be contingent on my modification. They denied last year due to the debt to income ratio but it they modify to make the payment affordable the ratio will adjust. It was about making home affordable last year. I have been working as of last year and making my Action > Mortgage payments but they instantly came to me to cure the loan of approx. {$11000.00} plus, granted I am scheduling Action > Mortgage payment as much as 3 in advance. 
Regarding the modification I sent the corrections they requested per your letter and as of now they have all documentations per their requests. The last request was a clarification if I am going to submit taxes for XX/XX/XXXX. Why will I evade my taxes when I have been consistent!! I sent XX/XX/XXXX and XX/XX/XXXX taxes since last month. I called to affirm their clarification. According to them as of XX/XX/XXXX they have all the requirements. They are threatening to take legal action as of XX/XX/XXXX if I do not cure the default amount. I have not received the letter yet but the rep. read that to me Please help me, I do n't want to lose my home!! There has to be light at the end of the tunnel!! 
Thanks! 
XXXX",Action > Mortgage,
2,"Dear Consumers Financial Protection Bureau ( CFPB ) : In submitting this complaint, I feel the need to share just a brief history of my story. I grew up on welfare and barely made it through high school. I had a rough home life that I was always trying to overcome. I worked hard for everything I had, but struggled emotionally. 

In XXXX, at XXXX XXXX XXXX, I decided to get help for my drinking. This is the way I coped with my life. I began recovery for XXXX. As a result, my whole life turned around. After a few years into sobriety, I found out that I could go to school with the help of financial aide. What a dream come true! At age XXXX I began that journey. 

I went to community XXXX for a few years then transferred to XXXX, where I worked on my XXXXr 's in XXXX XXXX. A vocation that later realized barely paid. I had a specific job that I was interested in, but they increased the requirements to a XXXX XXXX level degree. At XXXX, I went back for my XXXX XXXX XXXX. I had never married nor had kids. I met my current husband at XXXX, married at XXXX. Soon after we were married I unexpectedly I got XXXX. I was so happy. I didn't think this was possible. He is now XXXX and finishing high school. 

I graduated with my XXXX XXXX in XXXX XXXX at XXXX. I am now XXXX XXXX XXXX and have 30 years sobriety. 

"" My loan servicer is Nelnet. I seriously don't remember consolidating. I had XXXX XXXX initially. I remember XXXX XXXX XXXX XXXX stating they weren't working with them anymore, but my memory escapes me on the details of the switch. 

"" I am not sure where to start? I have 20+ year old loans nearing {$200000.00}. Larger than our home loan. We are not extravagant. 

"" I have a XXXX XXXX in XXXX XXXX and have worked at non-profits for years with low pay. I finally worked my way into XXXX XXXX and started trying to pay. 

I set up an income-based plan. This was difficult because I am in XXXX XXXX ( XXXX ) with contractual staff, so it is more complicated. What my business takes in and what I am paid is different, so It appears as though I make more then I really do. 

They are constantly trying to hold my spouse accountable. He did not co-sign the loans and in Michigan we are a non-community property State, plus they are not his loans. 

"" I have been paying fairly steady since XXXX of XXXX. As of XX/XX/XXXX - current I have paid {$26000.00}. 

"" From approximately XXXX in XXXX - XX/XX/XXXX, I began receiving harassing phone calls several times a day, even though I had continued to pay almost XXXX. Since this amount was based on income eligibility, they had considered me late for a portion of what they determined I owed. Initially I was confused about this and thought I had resolved things, at least for a bit. I found out that I needed to resubmit Income based information every year for that too. Each time they would demand my spouse 's income, which I wound refuse to provide. Each time I had to do this the process got drawn out further, then showing I very delinquent for the portion that they felt I owed. All the while I continued to pay $ XXXX. 

"" In XXXX of XXXX, I finally called them, because I couldn't handle all the calls. They called my office several times a day and left VM 's on that phone, where my colleagues and contractual staff had access. They called my cell phone several times a day with random unidentifiable numbers. 

I didn't feel they were working with me and refused to stop the calls until I resolved things. There appeared to be no solution. I was so upset from sobbing that I made the statement, "" It makes a person want to commit XXXX. '' I hung up feeling defeated and exhausted. 

At the time we were packing our vehicle for a family camping vacation. A Michigan State Policeman pulled into our driveway. Nelnet had called them. They stated that if I didn't go to see someone to be evaluated for XXXX they would handcuff me and take me. My 16-year-old son and his friend were in the house waiting to finish packing for the camping trip. I and my spouse reassured the police officer that it was a figure of speech and I was just very upset. I explained that I myself was therapist and I was not going to attempt XXXX. He still refused and threatened to handcuff me unless I see someone before we leave town. He finally agreed to let me see one of my contractual therapist at my office. I did so while everyone waited in the car to drive up north for our camping trip. 

I have not been the same since. I can't talk with them on the phone because I have XXXX XXXX and sob. There never seems to be a solution. 

"" At the end of XXXX, I began paying {$1000.00} per month. Shortly thereafter I requested a short forbearance because my spouse was laid off. I was denied. So, I just didn't pay as it was the house payment, our healthcare and needed bills ( or ) the Action > Student loan. 

Just FYI - In XXXX our healthcare costs had risen to $ XXXX through XXXX with a high deductible. In XXXX, XXXX raised our premiums to $ XXXX. We finally had to switch to a different insurance with an even higher deductible to get premiums down. 

"" In XXXX of XXXX, they reported me to the credit bureau for the first time. My good standing credit plummeted. I had never defaulted, never not tried to communicate with them outside of being a late in making contact or some payments. 

Because I have a difficult time talking with them without breaking down, I sent them an email requesting them to tell me what they need me to pay and sent my income amounts. I told them I would continue to make the {$1000.00} payment until they told me otherwise. They continued to tell me I failed to provide proper information, because I did not provide my spouses income. I kept paying and would again send my information. 

I am not eligible for any forgiveness, even though I have always worked with the disadvantaged/indigenous population in some capacity, even in my XXXX XXXX. I have been in forbearance for years, not really understanding how easily my loan were increasing. I am a smart and knowledgeable woman. However, I was very nave as to what was happening, especially in the beginning. I was just trying to make my life successful and make a difference. I have never intended not to pay. However, it is impossible to meet their demands. 

"" I have been paying {$1000.00} since XXXX of XXXX. I missed my XX/XX/XXXX payment which I fully intending to pay, got busy and keep forgetting. 

"" On XX/XX/XXXX I made a {$1000.00} payment. Later that evening I opened my mail and received a letter from Nelnet requesting that I pay the full amount of my note, {$190000.00}. If I did not pay or try to resolve within 30 days from the date of the letter, they would consider me default, garnish my wages and take our taxes. The letter was dated XX/XX/XXXX. I received it on XX/XX/XXXX. This gives me approximately 2 weeks to figure this out. 

I am scared of losing everything I have worked so hard for. I have a successful XXXX XXXX with on-going wait list, that I love. The dream I had has turned into a complete nightmare that is slowly beating me down. The dream of my XXXX son going to college is also gone. I don't want him to go through the same thing I am, which for a parent is very is sad. 

I don't know what to do?? I am going to try to consult an attorney for a better understanding of the legalities of this. I need some guidance and clarity as to how to deal with all of this. I am finding so many that are going through the same thing on the internet. I continue to look for information, but I have to come up for air and set aside now and them. If there is guidance you can give me to help me deal with all of this, it would be greatly appreciated. 

XXXX",Action > Student loan,
3,"Experian XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX/XXXX/XXXX XXXX Date XXXX/XXXX/XXXX Dear Experian Re : Inquires According to the Fair Action > Credit reporting act ( FCRA ) it is your responsibility to make sure a creditor provides a clear reason along with permission before releasing a credit report of a consumer. 

I request you to show me these companies below met the proper requirements of the FRCA on the dates listed by providing me the hard inquiry. 
XXXX XXXX/XXXX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX/XXXX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ( XXXX ) XXXX XXXX XXXX/XXXX/XXXX Miscellaneous And Public Record XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX ( XXXX ) XXXX If you are not able to do so, please remove this inquiry immediately. I am providing my social security number ( XXXX ) to assist you in making this transaction a little easier and faster. 
Thank you for your time, XXXX XXXX XXXX XXXX",Action > Credit reporting,
4,Doctors Business Bureau for {$240.00}. That debt has been paid and I have a letter supporting it. That debt has been in my credit report since last year and it needs to be removed immediately. Its hurting my credit!,Action > Debt collection,
5,I contacted Transunion to correct deficiencies on my credit report.,Action > Credit reporting,
6,"XXXX has continued reporting XXXX 2005. This was a debt switched to my name before my ex-wife divorced me. XXXX has changed collection agencies to keep this on my record. I 'm not paying it and it 's over 10 yrs old. Take it off. 
.",Action > Debt collection,
7,"Despite my multiple written requests, the unverified items : XXXX, XXXX, and multiple unauthorized inquiries from XXXX XXXX to XXXX XXXX, still remain on my credit report in violation of Federal law. In their results of re-investigation, Experian stated, in writing "" verified '' that these items are being "" reported correctly ''? Experian still has not identified who in their company verified the accuracy of these accounts or how they verified them. Experian 's failure to provide me with verifiable proof required for their company to post the accounts listed above is evidence that it does not exist and therefore is proof that they ca n't properly "" Verify '' the accuracy of any of the disputed accounts. Under section 611 ( 5 ) ( A ) of the FCRA, Experian is required to "" promptly delete all information which can not be verified. The law states that Experian must be willing and able to produce a document in their files that proves the account ( s ) /inquires belong to me/or they was given permissiable purpose to pull my credit report. Someone must authenticate the documents in my files that was used to verify the disputed information, and to do this they must have 1st hand knowledge of the alleged accounts ( s ) and all that has ever transpired for the alleged account ( s ) /inquiries. Experian has failed to do this after several letters and phone calls.",Action > Credit reporting,
8,"i made my car note payment on the XXXX of XXXX about the XXXX of XXXX I along with the Account holder started getting calls about the payment we were told that the payment was decline, I explained that the transaction was ran twice approved the first time and declined the second time I was asked to fax my bank statement to there office I did that, a few days later more calls came in again I explained my situation about the payment ( this is a different person ) I was told that the fax was not able to locate it and ask to fax it again I not only fax it I hand delivered a copy to the XXXX office, again a few days later more calls came in this time I 'm talking to XXXX I was told by here that I have been very uncooperative! now she 's asking to speak with my bank because I do n't know what I 'm talking about and get off the phone! so I ask XXXX who would you like to speak to from the bank im standing in the bank now? mind you I 'm standing in the tellers window with the teller and Bank manager so I ask again "" XXXX who would you like to speak to from the bank I 'm in the window now? she stated "" get me someone that knows what there talking about! I ask who XXXX would you like to speak to she either hung up on me or just refuse to talk I kept saying hello XXXX 5 times she never replied so I hung up and called back, then she started shouting I hung up on her, by now the Bank manager suggested that XXXX call her direct? XXXX stated she could n't call the bank and the manager of the store said she could n't talk on my phone, so I ask XXXX what do you want me to do you cant call and she cant get on my phone? at this point XXXX decided she would call the Bank which is illegal, after XXXX spoke with the Bank Manager about my account she ask to talk back to me when I get on the phone now XXXX is asking for my Credit card information Card number expiration date and security code which is totally unethical. then I spoke with several other peoples from Honor Finance and no one could find or figure out what happen to the payment, after I gave all my CC info I was told by XXXX she would call me and the bank to inform us on the status of the issue this was on or about the XXXX 2017, after speaking with XXXX a few days later I got a call form a manager XXXX? I explained to him the situation he began to laugh! I ask was it funny he stated he 's not laughing at me but at what I 'm going thought so it let me know that the treatment I 'm getting is really a practices no one took the time to find the payment but everyday I was receiving calls about the payment from at least XXXX different employees of Honor Finance.",Action > Debt collection,
9,I am trying to get a hold  of US Bank Home Mor tgage Customer service. They put me on hold and the line went dead. They are making it impossible to actually speak to a customer service representative regarding payment arrangements.,Action > Mortgage,
10,"To whom it may concern, I am to receive A XXXX time {$5000.00} XXXX XXXX credit on my 6 year anniversary date which was 2 months ago. XXXX transferred my loan in XXXX 2015 to Nationstar. XXXX had me submit all the appropriate paperwork to them in regard to the incentive payment. Nationstar told me I would be getting the {$5000.00} in XXXX 2015. 
No credit has been given by Nationstar to date. They do n't seem to be able to tell me anything but they are still researching this matter. I cant seem to get anywhere and I 'm very frustrated. They place me on hold for an hour every time I call and it is a waste of time.",Action > Mortgage,
11,"I visited XXXX XXXX Hospital, in XXXX XXXX, California for services and paid for the services at the time for all matters. The bill was for a little over {$100.00} sometime in XX/XX/XXXX or XX/XX/XXXX. I did not have insurance at the time of this visit. I am sure I do not owe this hospital any money since I asked for my bill at the time and paid it in full. I never have not paid for a bill that was due for services or a product I purchased. They are trying to get money from me for something I do not owe. FRAUD!!",Action > Debt collection,
12,"I am tired of the the way my loan is being handle by Bank of america. I submitted a new modification packet since the beginning of XX/XX/XXXX and today I called to make sure they have everything in. I was told they have not received anything I got very upset because I fax my documents to three different fax numbers so this would n't happened.the specialist provided me with another fax number. I told the Agent I  have an active sale date and is urgent for Bank of america to get my documents so a new review can start. I am very frustrated that I am doing everything I can to work with Bank of america so I can be provided a resolution. But I feel Bank of america is purposely prolonging the case so my home can finally foreclosed. I am making enough to be provided an affordable trial payment. My intentions are to keep my home. I will do whatever it takes to show Bank of america I want to be current once again. The previous trial payments was completed it 's showing I am able to afford my Action > Mortgage payments. The only thing that I did n't complete was the contribution I was being asked to pay {$6000.00} to bank of america. Those were funds I dont have available and I explain all of this to my specialist and still Bank of america refused to work with me. Now I was forced to reapply, and that is what I have done.",Action > Mortgage,
13,They are reporting an extremely ridiculous amount that i do not owe.,Action > Debt collection,
14,"I have owned a rental property in XXXX, WI ( XXXX XXXX XXXX ) for about 20 years. My XXXX Action > Mortgage holder is XXXX XXXX. I have a XXXX Action > Mortgage currently held by BMO Harris. This XXXX Action > Mortgage used to be owned by M & I Bank, until about 4 years ago. I have a {$40000.00} line of credit on this XXXX Action > Mortgage, and I have never missed a payment in all the years of that I have used this line of credit. For many years the balance was XXXX to XXXX. Last year, I badly needed a new roof on the property ( XXXX XXXX XXXX ) and I used the remaining XXXX for the roof. Soon after using the remaining credit, I tried to make a payment online, and the site would not allow it. I called customer service at BMO and they informed me that the entire balance ( XXXX ) was due at that time. From this point, BMO treated my case like a loan modification and assigned XXXX XXXX XXXX, Senior Real Estate Underwriter. After making many requests to keep my current line of credit and make payments like I have been, XXXX XXXX XXXX asked me to find a loan guarantor, in order to "" re-do '' the loan. This is not an option for me, and I conveyed this to XXXX XXXX. She then suggested that I think about selling the property. This is also an option that is not realistic at the current time, considering the numbers. I am also worried about my credit score being affected adversely.",Action > Mortgage,
15,"I have completed a bankruptcy protection in XXXX 2015 and I have paperwork showing that the bankruptcy was approved. I have been getting calls from some company called "" Focus Receivables Management ''. I have asked to speak to someone about it but I just get sent to a voicemail for XXXX. No one will tell the what the account is for just mumbling about an attempt to collect a debt. I keep telling them that I have completed a bankruptcy and I still keep getting called to tell me to call them back and I keep getting a voicemail. I am so done with this, I am tired of dealing with ignorant people who do n't know anything about the debt and want me to pay. Not so, I 'm not old and senile to pay anyone who says I owe them something. They need to get band from doing busy in America, this is ridiculous calling me at night and in the morning hours. I do n't owe anyone anything, everything was cleared in bankruptcy. I know if they 're calling me they 're calling other people as well and doing the same thing.",Action > Debt collection,
16,"My loan is with Navient ( XXXX XXXX ). The disbursement date was XXXX/XXXX/XXXX and the original loan amount was {$8200.00}. Since the first payment on XXXX/XXXX/XXXX, {$11000.00} has been paid on this loan and {$9200.00} has gone towards interest. This company has reported negitively to the credit bureaus untrue information, harrassed me via phone and email, lied about not receiving payments even after they received proof. The account is 5 months past due and I have made every effort to rectify the situation but they are unwilling to work with me. Ideally, I would like to settle but for a way less amount. I called Navient on XXXX XXXX, XXXX to make an offer of {$1000.00} and they countered with {$9000.00}. This is not something I can afford. Please help",Action > Student loan,
17,I recently pulled a copy of my credit report and noticed an unfamiliar company listed under collection so I disputed it with credit bureau and they send me a letter saying it was verified to be mine. I do n't have or recall even signing a contract with a company by the name listed.,Action > Debt collection,
18,"I wrote and asked Experian to remove the address "" XXXX. XXXX XXXX, XXXX, PA XXXX '' from my credit report as there are no active or inactive accounts reporting it. Experian wrote me back and stated that if I believe an address in my credit report to be inaccurate to contact the source of the information directly. The "" source '' has been inactive for over 6 years and IS NOT REPORTING. But a dispute -- XXXX -- is using the address only because they found the address on my Experian report. I have NEVER used a "" XXXX. XXXX XXXX, XXXX, PA XXXX with XXXX. This is why I want the address removed. Keeping this address on my credit report puts me in jeopardy of fraud. I still dispute the XXXX charge and they have no right to report or use an address I have never used with them. I would like the "" XXXX. XXXX XXXX, XXXX, PA XXXX removed from my Experian credit report as it belongs to someone else.",Action > Credit reporting,
19,"Paramount Recovery Systems has put amounts of money owed, but I have no idea who they are or representing. These items are duplicated and triplicated on my credit reports. These amounts 1st appeared on my reports in XX/XX/XXXX, and now they appear as XX/XX/XXXX. These are the account numbers : XXXX {$38.00} ; XXXX {$56.00} ; {$330.00} ; {$330.00} ; {$220.00} ; {$280.00} ; {$280.00} ; {$220.00} ; {$220.00} ; {$120.00}. I have tried to get these items removed from my credit reports without success. I really need your assistance with this matter",Action > Debt collection,
20,This company attempts to collect an amount that I have no knowledge of. I did not make the purchase that resulted in debt.,Action > Debt collection,
21,"After I enrolled in automatic debit for monthly payment, New American Funding debited XXXX payments for the XXXX payment from my checking account, once on XXXX XXXX and the XXXX on XXXX XXXX. The loan payments were not overdue and there is other legal basis for taking the XXXX payment. They applied the XXXX payment to XXXX even though I repeatedly asked for the money back. I did not authorize the taking of any extra money, just the payment due for XXXX month at a time. They refused to explain why the extra payment was taken and refused to put it back into my account the same way they withdrew it. This was an overdraft in my checking account. I have no resources to cure the overdraft, so my bank levied {$34.00} overdraft fees at least XXXX times + another {$10.00} for transferring my entire savings to checking even though it was n't enough to cure the overdraft. After pleading on the phone with their agent XXXX XXXX she told me it was arranged for the money to be put directly back into my account and gave me confirmation # XXXX. After 2 days, I contacted XXXX XXXX to tell her the money had not been deposited. She replied a check would be mailed on XXXX XXXX. New American Funding would reimburse a stop payment fee but not any overdraft fees. By the time that check arrives and I take it to my bank to put in my account it will be 3 weeks since it was taken. New American Funding cost me much more than the extra payment, I have multiple bank fees and expect late payment fees from various creditors who could not be paid on time. That alone impairs my credit record. I am retired and live on a fixed income that is just enough to cover my needs and put a little aside in savings, so without that money my family & I are suffering severe hardship we needed that {$1300.00} for food, utilities, fuel and other necessities of life.",Action > Mortgage,
22,"My relatives have shar ed VM  's from this company  United Recoveries calling them telling them that armed police officers we re coming to my home to arrest me in  4 hours if I did not respond to them, I have contacted them to see who they are, hung up on me 3 times, and the last time they transferred me to a case manager I sat on hold for over 15 minutes only to be redirected back to the operat or again. They have no sent me any notices, they have called my niece and my husband with the same message, no clue who they are or want they want",Action > Debt collection,
23,Equifax is ignoring my requests to investigate and remove accounts from my credit report that do not belong to me.,Action > Credit reporting,
24,"To : LOANCARE our Action > Mortgage servicing company. 
Since XXXX XXXX, XXXX you have increase our monthly Action > Mortgage payment from {$3600.00} to {$4400.00} by incorrectly calculating our property taxes. I have enclosed all the County contact information and documentation that would be required to correct this matter forthwidth. 
My wife and I have made serveral attempts to contact your Customer service department and have forwarded any information under ( Ticket # XXXXXXXXXXXX ) XXXX/XXXX/XXXX that you would need to correct this matter but yet you have continued to collected escrow monies beyond legal limits of Federal Real Estate Settlement Procedures Act ( RESPA ) We are DUE are refund from our escrow account Under the legal limits of Federal Real Estate Settlement Procedures Act ( RESPA ). 

We are once again are needing to send additional information to your escrow deptment since we are not alllowed to speak to anyone in your escorw department. 
Below here are escrow calculations XXXXX Action > Mortgage COMPANY who you aquired our Action > Mortgage Calculated our Escrow monthly payment of {$880.00} based on county property taxes for just the land of 2 annual tax payments of {$1600.00} and 2 annual supplemental property tax payments of {$2000.00} the last supplemental tax was due XXXX XXXX, XXXX in spite of the fact you had excess money in our Escrow account and To avoid a 10 % penalty + {$20.00} fine We have PAID on XXXX XXXX, XXXX our County Property Tax The supplemental tax payments were temporary until the XXXX XXXX tax year after which re-assesment of the land and home combined in a supplemental tax would no longer be required. 

We have in XXXX XXXX forwarded you our new County property tax Statement under ( Ticket #  XXXXXXXXX ) for your escrow department to correct your Escrow calculation errors. You have yet to adjust our monthy automatic checking account withdrawal. 

At the begininning of the tax year we requested that you pay our suppliment property taxes and you reluctantly did make a tax payment of {$2000.00} by XXXX XXXX, XXXX but told us that you would not make the last supplemental tax due XXXX XXXX, XXXX in spite of the fact to had excess money in Escrow account. To avoid a 10 % penalty + {$20.00} fine We have PAID on XXXX XXXX, XXXX our County Property Taxes We have attached our our County Property Tax receipt to show we have Paid our Taxes That you refused to pay. 

Escrow County property tax Calculations {$5100.00} Due XXXX XXXX + {$5100.00} Due XXXX XXXX, XXXX = {$10000.00} / 12 = {$850.00} {$850.00} * 2 = {$1300.00} {$5100.00} + {$1300.00} + XXXX = {$7300.00} maximum allowable escrow balance Current Escrow Account Balance : {$15000.00} If you have any questions about our past or current property taxes you have the information of our county tax collector including phone number and addresses.",Action > Mortgage,
25,"My relatives have received harassing phone calls, saying it will be arrested, served papers, charge with failure to appear, they have pretended to be officers of the court etc. I have called them back and reviewed their information to find out it is not me but someone who 's last known address is half way across the country. Then this morning They promised before to take me off their calling list after calling my lawyer. Two days ago I registered a new phone number and the calls continue, when I return the call they tell me they are suing me for XXXX/XXXX percent of what I owed ( keep in mind I owe them nothing ) and I even confirmed with them they had the wrong person by asking for that person social and provided my last XXXX to them. She is then abusive and hangs up so I call back and she insist that I confirmed that it was my debt and she 's serving me with papers. I have lived in XXXX for the last 4 years and this debt they are trying to collect is only a few years old during a period I could not have made it. They refuse to give me an address of the company, any details or talk with a supervisor but insist it is me even after I confirmed it was not. They called me at XXXX waking up me and my wife who are getting ready to have a baby and their threats are causing me unrest when I do n't even know this person their trying to collect on and contacted family members private cell phones that do n't even share my last name.",Action > Debt collection,
26,"CBE Collections put a collection for a medical bill on my credit reports. I do n't even owe any doctor or hospital bills, and I think this is a scam. I think they are trying to get me to pay for something that never existed in the first place. I went out to the XXXX for the State of Iowa where this company has its headquarters and there were many complaints about this company targeting seniors in just this way.",Action > Consumer Loan,
27,"I asked via certified letter on XXXX/XXXX/15 for a debt validation to Enhanced recovery co. for an alleged debt of {$200.00} that I owed originally to XXXX XXXX XXXX in 2012. XXXX months have past since my original request and I still did not received any proper documentation ( re : copy of last invoice from XXXX XXXX to my attention ) to support this debt. Without any response from them I subsequently reported them on XXXX XXXX, 2015 to the CFPB, Enhanced finally responded in writing on XXXX XXXX 2015 stipulating : '' Our agency request related documentation materials associated with the account from XXXX XXXX cable. Upon receipt of any materials from our client, our agency will forward the documentation to XXXX XXXX Address on file. "" More than XXXX days have past since this letter and I 'm still waiting for the proper documentation validating this debt. 
They are however still reporting me monthly to the credit bureaus.",Action > Debt collection,
